bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
0,10000,5.0,0,0,0,0,0,76.8,76.8,21.6,55.2,0.0
10000,20000,15.0,0,0,0,0,0,352.8,218.4,58.4,160.0,134.4
20000,30000,25.0,0,0,0,0,0,549.6,273.6,74.4,199.2,276.0
30000,40000,35.0,0,0,0,0,0,878.4,416.8,96.0,320.8,461.6
40000,50000,45.0,0,0,0,0,0,1117.6,527.2,112.0,415.2,590.4
50000,60000,55.0,0,0,0,0,0,1153.6,520.8,108.8,412.0,632.8
60000,70000,65.0,0,0,0,0,0,1461.6,821.6,105.6,716.0,640.0
70000,80000,75.0,0,0,0,0,0,1379.2,744.8,112.0,632.8,634.4
80000,90000,85.0,0,0,0,0,0,1476.8,840.0,110.4,729.6,636.8
90000,100000,95.0,0,0,0,0,0,1864.8,1226.4,110.4,1116.0,638.4
100000,110000,105.0,0,0,0,0,0,1731.2,1104.8,121.6,983.2,626.4
110000,120000,115.0,0,0,0,0,0,2091.2,1456.8,114.4,1342.4,634.4
120000,130000,125.0,0,0,0,0,0,2284.8064,1671.2,130.4,1540.8,613.6064
130000,140000,135.0,0,0,0,0,0,2242.4192,1745.6,246.4,1499.2,496.8192
140000,150000,145.0,0,0,0,0,0,2617.6,2097.6,239.2,1858.4,520.0
150000,160000,155.0,0,0,0,0,0,2742.4,2204.0,217.6,1986.4,538.4
160000,170000,165.0,0,0,0,0,0,2830.4,2287.2,215.2,2072.0,543.2
170000,180000,175.0,0,0,0,0,0,2819.2,2257.6,194.4,2063.2,561.6
180000,190000,185.0,0,0,0,0,0,2834.4,2270.4,191.2,2079.2,564.0
190000,200000,195.0,0,0,0,0,0,2836.0,2260.0,178.4,2081.6,576.0
200000,210000,205.0,0,0,0,0,0,2834.4,2260.0,177.6,2082.4,574.4
210000,220000,215.0,0,0,0,0,0,2824.5824,2251.7824,180.8,2070.9824,572.8
220000,230000,225.0,0,0,0,0,0,2740.7552,2159.9552,173.6,1986.3552,580.8
230000,240000,235.0,0,0,0,0,0,2555.488,1975.2,172.8,1802.4,580.288
240000,250000,245.0,0,0,0,0,0,2721.3312,2209.6,244.0,1965.6,511.7312
250000,260000,255.0,0,0,0,0,0,2867.488,2359.2,253.6,2105.6,508.288
260000,270000,265.0,0,0,0,0,0,2872.0576,2340.0,224.0,2116.0,532.0576
270000,280000,275.0,0,0,0,0,0,2875.2,2340.8,225.6,2115.2,534.4
280000,290000,285.0,0,0,0,0,0,2872.4032,2329.6,213.6,2116.0,542.8032
290000,300000,295.0,0,0,0,0,0,2871.2576,2339.2,225.6,2113.6,532.0576
300000,310000,305.0,0,0,0,0,0,2870.4,2340.0,228.0,2112.0,530.4
310000,320000,315.0,0,0,0,0,0,2867.6608,2338.0608,228.8,2109.2608,529.6
320000,330000,325.0,0,0,0,0,0,2833.0688,2293.0688,221.6,2071.4688,540.0
330000,340000,335.0,0,0,0,0,0,2766.6688,2221.8688,211.2,2010.6688,544.8
340000,350000,345.0,0,0,0,0,0,2849.6,2291.2,198.4,2092.8,558.4
350000,360000,355.0,0,0,0,0,0,2869.6,2312.8,198.4,2114.4,556.8
360000,370000,365.0,0,0,0,0,0,2871.4944,2306.4,191.2,2115.2,565.0944
370000,380000,375.0,0,0,0,0,0,2873.7216,2341.6,225.6,2116.0,532.1216
380000,390000,385.0,0,0,0,0,0,2873.888,2344.0,228.0,2116.0,529.888
390000,400000,395.0,0,0,0,0,0,2872.9152,2345.6,232.8,2112.8,527.3152
400000,410000,405.0,0,0,0,0,0,2873.2608,2326.8608,212.4608,2114.4,546.4
410000,420000,415.0,0,0,0,0,0,2586.4768,2019.2768,187.2,1832.0768,567.2
420000,430000,425.0,0,0,0,0,0,2283.3216,1704.1216,176.0,1528.1216,579.2
430000,440000,435.0,0,0,0,0,0,2270.688,1699.2,180.0,1519.2,571.488
440000,450000,445.0,0,0,0,0,0,2428.0576,1864.8,192.8,1672.0,563.2576
450000,460000,455.0,0,0,0,0,0,2536.8,1951.2,166.4,1784.8,585.6
460000,470000,465.0,0,0,0,0,0,2580.288,1997.6,170.4,1827.2,582.688
470000,480000,475.0,0,0,0,0,0,1343.4496,781.216,188.8,592.416,562.2336
480000,490000,485.0,0,0,0,0,0,970.9376,418.1824,204.8,213.3824,552.7552
490000,500000,495.0,0,0,0,0,0,800.3456,269.6,225.6,44.0,530.7456
500000,510000,505.0,0,0,0,0,0,800.0576,252.0,207.2,44.8,548.0576
510000,520000,515.0,0,0,0,0,0,800.0,242.4,197.6,44.8,557.6
520000,530000,525.0,0,0,0,0,0,810.4,241.6,187.2,54.4,568.8
530000,540000,535.0,0,0,0,0,0,797.6,224.0,179.2,44.8,573.6
540000,550000,545.0,0,0,0,0,0,814.4,240.0,182.4,57.6,574.4
550000,560000,555.0,0,0,0,0,0,803.2,214.4,164.0,50.4,588.8
560000,570000,565.0,0,0,0,0,0,794.9184,210.0608,167.2,42.8608,584.8576
570000,580000,575.0,0,0,0,0,0,751.3728,157.6,157.6,0.0,593.7728
580000,590000,585.0,0,0,0,0,0,750.0096,181.6,181.6,0.0,568.4096
590000,600000,595.0,0,0,0,0,0,754.8032,170.4,170.4,0.0,584.4032
600000,610000,605.0,0,0,0,0,0,754.176,184.0,184.0,0.0,570.176
610000,620000,615.0,0,0,0,0,0,751.4304,176.8,176.8,0.0,574.6304
620000,630000,625.0,0,0,0,0,0,752.0576,197.6,197.6,0.0,554.4576
630000,640000,635.0,0,0,0,0,0,758.8032,201.6,201.6,0.0,557.2032
640000,650000,645.0,0,0,0,0,0,752.8576,183.2,183.2,0.0,569.6576
650000,660000,655.0,0,0,0,0,0,752.0,191.2,191.2,0.0,560.8
660000,670000,665.0,0,0,0,0,0,752.0576,180.8,180.8,0.0,571.2576
670000,680000,675.0,0,0,0,0,0,753.6,168.8,168.8,0.0,584.8
680000,690000,685.0,0,0,0,0,0,753.152,180.0,180.0,0.0,573.152
690000,700000,695.0,0,0,0,0,0,752.5184,195.2,195.2,0.0,557.3184
700000,710000,705.0,0,0,0,0,0,757.0304,220.0,220.0,0.0,537.0304
710000,720000,715.0,0,0,0,0,0,756.4032,232.8,232.8,0.0,523.6032
720000,730000,725.0,0,0,0,0,0,758.6304,248.8,248.8,0.0,509.8304
730000,740000,735.0,0,0,0,0,0,761.1456,235.2,235.2,0.0,525.9456
740000,750000,745.0,0,0,0,0,0,754.1184,226.8608,226.8608,0.0,527.2576
750000,760000,755.0,0,0,0,0,0,757.088,223.2,223.2,0.0,533.888
760000,770000,765.0,0,0,0,0,0,760.4096,261.2608,261.2608,0.0,499.1488
770000,780000,775.0,0,0,0,0,0,764.5184,288.0,288.0,0.0,476.5184
780000,790000,785.0,0,0,0,0,0,766.7456,295.2,295.2,0.0,471.5456
790000,800000,795.0,0,0,0,0,0,767.6608,304.8,304.8,0.0,462.8608
800000,810000,805.0,0,0,0,0,0,774.0608,351.2,351.2,0.0,422.8608
810000,820000,815.0,0,0,0,0,0,786.1184,396.0,396.0,0.0,390.1184
820000,830000,825.0,0,0,0,0,0,794.0608,412.0,412.0,0.0,382.0608
830000,840000,835.0,0,0,0,0,0,805.2608,488.8,488.8,0.0,316.4608
840000,850000,845.0,0,0,0,0,0,813.3184,509.6,509.6,0.0,303.7184
850000,860000,855.0,0,0,0,0,0,813.1456,548.0,548.0,0.0,265.1456
860000,870000,865.0,0,0,0,0,0,782.8032,571.2,571.2,0.0,211.6032
870000,880000,875.0,0,0,0,0,0,758.6304,612.0,612.0,0.0,146.6304
880000,890000,885.0,0,0,0,0,0,764.9152,635.2,635.2,0.0,129.7152
890000,900000,895.0,0,0,0,0,0,765.6576,640.8,640.8,0.0,124.8576
900000,910000,905.0,0,0,0,0,0,765.6576,639.2,639.2,0.0,126.4576
910000,920000,915.0,0,0,0,0,0,784.1728,663.2,663.2,0.0,120.9728
920000,930000,925.0,0,0,0,0,0,766.5152,662.4,662.4,0.0,104.1152
930000,940000,935.0,0,0,0,0,0,784.1728,668.0,668.0,0.0,116.1728
940000,950000,945.0,0,0,0,0,0,780.6336,678.8608,678.8608,0.0,101.7728
950000,960000,955.0,0,0,0,0,0,777.7152,685.6,685.6,0.0,92.1152
960000,970000,965.0,0,0,0,0,0,779.4432,678.6432,678.6432,0.0,100.8
970000,980000,975.0,0,0,0,0,0,801.376,714.8608,714.8608,0.0,86.5152
980000,990000,985.0,0,0,0,0,0,794.2912,725.2608,725.2608,0.0,69.0304
990000,1000000,995.0,0,0,0,0,0,812.5824,776.1216,776.1216,0.0,36.4608
1000000,1010000,1005.0,0,0,0,0,0,808.704,808.704,808.704,0.0,0.0
1010000,1020000,1015.0,0,0,0,0,0,811.3216,811.3216,811.3216,0.0,0.0
1020000,1030000,1025.0,0,0,0,0,0,780.4864,780.4864,780.4864,0.0,0.0
1030000,1040000,1035.0,0,0,0,0,0,196.0256,196.0256,196.0256,0.0,0.0
1040000,1050000,1045.0,0,0,0,0,0,96.8,96.8,96.8,0.0,0.0
1050000,1060000,1055.0,0,0,0,0,0,96.0,96.0,96.0,0.0,0.0
1060000,1070000,1065.0,0,0,0,0,0,96.4608,96.4608,96.4608,0.0,0.0
1070000,1080000,1075.0,0,0,0,0,0,82.4,82.4,82.4,0.0,0.0
1080000,1090000,1085.0,0,0,0,0,0,66.0608,66.0608,66.0608,0.0,0.0
