bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
0,10000,5.0,102,102,0,0,34,76.8,76.8,21.6,55.2,0.0
10000,20000,15.0,294,294,0,0,34,331.2,196.8,36.8,160.0,134.4
20000,30000,25.0,446,446,0,0,34,484.8,263.2,64.0,199.2,221.6
30000,40000,35.0,588,569,19,19,34,665.6,383.2,78.4,304.8,282.4
40000,50000,45.0,685,704,-19,0,34,831.2,499.2,72.0,427.2,332.0
50000,60000,55.0,858,856,2,2,34,877.6,488.8,74.4,414.4,388.8
60000,70000,65.0,1177,1172,5,7,34,1153.6,763.2,74.4,688.8,390.4
70000,80000,75.0,1027,1034,-7,0,34,1078.4,721.6,73.6,648.0,356.8
80000,90000,85.0,1160,1153,7,7,34,1153.6,784.8,80.8,704.0,368.8
90000,100000,95.0,1563,1554,9,16,34,1449.6,1140.8,72.0,1068.8,308.8
100000,110000,105.0,1376,1392,-16,0,34,1328.8,1065.6,65.6,1000.0,263.2
110000,120000,115.0,1611,1597,14,14,34,1648.8,1309.6,87.2,1222.4,339.2
120000,130000,125.0,1567,1565,2,16,34,1600.8,1345.6,64.0,1281.6,255.2
130000,140000,135.0,1519,1530,-11,5,34,1719.2,1392.0,86.4,1305.6,327.2
140000,150000,145.0,1660,1650,10,15,34,1775.2,1436.8,78.4,1358.4,338.4
150000,160000,155.0,1571,1578,-7,8,34,1688.0,1438.4,68.0,1370.4,249.6
160000,170000,165.0,1533,1530,3,11,34,1811.2,1460.8,85.6,1375.2,350.4
170000,180000,175.0,1702,1698,4,15,34,1836.8,1513.6,72.0,1441.6,323.2
180000,190000,185.0,1636,1642,-6,9,34,1792.0,1516.8,68.8,1448.0,275.2
190000,200000,195.0,1554,1551,3,12,34,1840.8,1506.4,83.2,1423.2,334.4
200000,210000,205.0,1576,1573,3,15,34,1819.2,1564.0,68.8,1495.2,255.2
210000,220000,215.0,1468,1478,-10,5,34,1807.2,1522.4,68.8,1453.6,284.8
220000,230000,225.0,1460,1455,5,10,34,1877.6576,1551.2,88.0,1463.2,326.4576
230000,240000,235.0,1397,1388,9,19,34,1754.7456,1449.6,72.0,1377.6,305.1456
240000,250000,245.0,1317,1323,-6,13,34,1692.0,1442.4,72.0,1370.4,249.6
250000,260000,255.0,1358,1362,-4,9,34,1780.8,1450.4,79.2,1371.2,330.4
260000,270000,265.0,1352,1350,2,11,34,1820.0,1490.4,85.6,1404.8,329.6
270000,280000,275.0,1371,1365,6,17,34,1741.2608,1467.6608,66.4,1401.2608,273.6
280000,290000,285.0,1312,1321,-9,8,34,1709.7216,1439.3216,73.6,1365.7216,270.4
290000,300000,295.0,1297,1291,6,14,34,1821.6256,1479.2256,92.8,1386.4256,342.4
300000,310000,305.0,1502,1499,3,17,34,1797.7472,1476.9472,71.2,1405.7472,320.8
310000,320000,315.0,1487,1495,-8,9,34,1778.1824,1502.9824,76.8,1426.1824,275.2
320000,330000,325.0,1441,1430,11,20,34,1842.4,1492.8,86.4,1406.4,349.6
330000,340000,335.0,1305,1305,0,20,34,1708.8,1429.6,64.8,1364.8,279.2
340000,350000,345.0,1176,1183,-7,13,34,1687.2,1388.0,70.4,1317.6,299.2
350000,360000,355.0,1262,1257,5,18,34,1767.2,1406.4,74.4,1332.0,360.8
360000,370000,365.0,1344,1352,-8,10,34,1714.4,1460.0,60.8,1399.2,254.4
370000,380000,375.0,1527,1526,1,11,34,1864.0,1508.0,80.0,1428.0,356.0
380000,390000,385.0,1487,1484,3,14,34,1801.6,1471.2,67.2,1404.0,330.4
390000,400000,395.0,1392,1396,-4,10,34,1721.6,1448.8,60.8,1388.0,272.8
400000,410000,405.0,1556,1553,3,13,34,1896.8576,1532.8,80.0,1452.8,364.0576
410000,420000,415.0,1449,1444,5,18,34,1802.4,1476.8,61.6,1415.2,325.6
420000,430000,425.0,1354,1364,-10,8,34,1728.8,1454.4,56.0,1398.4,274.4
430000,440000,435.0,1445,1441,4,12,34,1856.0,1494.4,72.0,1422.4,361.6
440000,450000,445.0,1472,1468,4,16,34,1810.6368,1488.1216,62.4,1425.7216,322.5152
450000,460000,455.0,1417,1427,-10,6,34,1719.0912,1444.4608,58.4,1386.0608,274.6304
460000,470000,465.0,1512,1508,4,10,34,1884.576,1484.0,74.4,1409.6,400.576
470000,480000,475.0,1438,1428,10,20,34,1760.8064,1466.0608,62.4,1403.6608,294.7456
480000,490000,485.0,1287,1294,-7,13,34,1787.3728,1498.4,63.2,1435.2,288.9728
490000,500000,495.0,1318,1319,-1,12,34,1840.4672,1463.3216,68.0,1395.3216,377.1456
500000,510000,505.0,1628,1619,9,21,34,1850.72,1515.6864,60.8,1454.8864,335.0336
510000,520000,515.0,1255,1264,-9,12,34,1742.0224,1435.904,65.6,1370.304,306.1184
520000,530000,525.0,1361,1358,3,15,34,1815.4944,1432.1216,67.2,1364.9216,383.3728
530000,540000,535.0,1322,1326,-4,11,34,1650.5792,1404.1216,56.8,1347.3216,246.4576
540000,550000,545.0,1410,1411,-1,10,34,1849.7216,1482.5216,72.0,1410.5216,367.2
550000,560000,555.0,1423,1414,9,19,34,1734.0608,1407.6608,58.4,1349.2608,326.4
560000,570000,565.0,1479,1490,-11,8,34,1780.8,1496.8,63.2,1433.6,284.0
570000,580000,575.0,1414,1411,3,11,34,1811.3216,1437.7216,65.6,1372.1216,373.6
580000,590000,585.0,1533,1531,2,13,33,1690.5472,1425.7472,52.0,1373.7472,264.8
590000,600000,595.0,1400,1406,-6,7,33,1701.2864,1364.4864,67.2,1297.2864,336.8
600000,610000,605.0,1486,1478,8,15,31,1623.7824,1280.5824,57.6,1222.9824,343.2
610000,620000,615.0,1495,1508,-13,2,31,1558.7648,1263.5648,62.4,1201.1648,295.2
620000,630000,625.0,848,841,7,9,26,965.1904,620.3904,68.0,552.3904,344.8
630000,640000,635.0,427,434,-7,2,13,421.2608,186.0608,53.6,132.4608,235.2
640000,650000,645.0,401,395,6,8,12,528.0,164.0,68.0,96.0,364.0
650000,660000,655.0,318,318,0,8,12,361.2608,113.2608,50.4,62.8608,248.0
660000,670000,665.0,243,247,-4,4,12,460.8,120.0,68.8,51.2,340.8
670000,680000,675.0,322,317,5,9,12,436.8,114.4,56.8,57.6,322.4
