bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
0,10000,5.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
10000,20000,15.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
20000,30000,25.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
30000,40000,35.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
40000,50000,45.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
50000,60000,55.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
60000,70000,65.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
70000,80000,75.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
80000,90000,85.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
90000,100000,95.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
100000,110000,105.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
110000,120000,115.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
120000,130000,125.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
130000,140000,135.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
140000,150000,145.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
150000,160000,155.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
160000,170000,165.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
170000,180000,175.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
180000,190000,185.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
190000,200000,195.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
200000,210000,205.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
210000,220000,215.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
220000,230000,225.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
230000,240000,235.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
240000,250000,245.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
250000,260000,255.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
260000,270000,265.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
270000,280000,275.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
280000,290000,285.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
290000,300000,295.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
300000,310000,305.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
310000,320000,315.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
320000,330000,325.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
330000,340000,335.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
340000,350000,345.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
350000,360000,355.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
360000,370000,365.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
370000,380000,375.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
380000,390000,385.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
390000,400000,395.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
400000,410000,405.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
410000,420000,415.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
