39 3 36 37 38
36 37 38
0 36 40Gbps 0.001000ms 0
1 36 40Gbps 0.001000ms 0
2 37 40Gbps 0.001000ms 0
3 37 40Gbps 0.001000ms 0
4 37 40Gbps 0.001000ms 0
5 37 40Gbps 0.001000ms 0
6 37 40Gbps 0.001000ms 0
7 37 40Gbps 0.001000ms 0
8 37 40Gbps 0.001000ms 0
9 37 40Gbps 0.001000ms 0
10 37 40Gbps 0.001000ms 0
11 37 40Gbps 0.001000ms 0
12 37 40Gbps 0.001000ms 0
13 37 40Gbps 0.001000ms 0
14 37 40Gbps 0.001000ms 0
15 37 40Gbps 0.001000ms 0
16 37 40Gbps 0.001000ms 0
17 37 40Gbps 0.001000ms 0
18 37 40Gbps 0.001000ms 0
19 37 40Gbps 0.001000ms 0
20 37 40Gbps 0.001000ms 0
21 37 40Gbps 0.001000ms 0
22 37 40Gbps 0.001000ms 0
23 37 40Gbps 0.001000ms 0
24 37 40Gbps 0.001000ms 0
25 37 40Gbps 0.001000ms 0
26 37 40Gbps 0.001000ms 0
27 37 40Gbps 0.001000ms 0
28 37 40Gbps 0.001000ms 0
29 37 40Gbps 0.001000ms 0
30 37 40Gbps 0.001000ms 0
31 37 40Gbps 0.001000ms 0
32 37 40Gbps 0.001000ms 0
33 37 40Gbps 0.001000ms 0
34 37 40Gbps 0.001000ms 0
35 37 40Gbps 0.001000ms 0
36 38 100Gbps 0.001000ms 0
37 38 100Gbps 0.001000ms 0
